Name,allIssues,allPrs,allFilterIssues,allFilterPrs,prCreators,closedPr,mergedPr,selfMergedPr,mergers,hasCommitPr,commits,committers,hasCommentPr,comments,commenters,hasReviewPr,reviews,reviewers,users,forks,stars,project_created_at
react,22692,11652,10989,11652,2880,11417,8002,4644,59,11629,28740,2982,10179,43207,2650,3797,22282,910,4532,36454,179625,2013-05-24T16:15:54Z
node,40154,26046,14039,26046,3603,25736,3415,2845,69,25544,61907,3784,25656,193780,3168,10800,76183,1675,5255,22161,83985,2014-11-26T19:57:11Z
gatsby,32516,19329,13177,19329,4734,19140,15949,2844,75,19311,60723,4970,12328,43260,2969,4243,26861,1179,5934,10053,51958,2015-05-21T22:43:05Z
scikit-learn,21697,12639,9056,12639,3336,11827,8311,866,41,12584,74956,3738,10852,81374,2738,6208,59417,1499,4702,22450,48398,2010-08-17T09:43:38Z
ansible,76416,46431,29971,46431,7631,45899,34390,9961,80,46329,126640,8465,38511,161952,7088,9369,58193,2223,12123,21393,51158,2012-03-06T14:58:02Z
pandas,45142,23361,21774,23361,3490,23236,17965,2912,37,23326,102367,3829,19900,113268,2914,11029,90978,1997,4627,13685,32142,2010-08-24T01:37:33Z
tensorflow,53228,19537,33691,19537,4254,19373,13793,1724,90,19477,75491,4541,13885,70375,4016,4523,33294,1496,5948,86027,161517,2015-11-07T01:19:20Z
bitcoin,23198,16542,6654,16542,1725,16170,11107,1812,18,16502,41649,1819,15444,120910,1732,7060,58334,731,2807,31043,60606,2010-12-19T15:16:43Z
pytorch,70422,46581,23828,46581,2930,43143,4899,1876,115,46516,202333,3358,39687,151897,2299,15198,118227,1221,4530,14560,53013,2016-08-13T05:26:41Z
elasticsearch,81956,53177,28775,53178,2814,52700,45502,40920,246,53083,165796,2866,45031,133957,2606,16188,121092,691,4173,21067,57955,2010-02-08T13:20:56Z
